Date,Not indexed,Indexed,Impressions
2026-05-27,,,0
2026-05-28,,,0
2026-05-29,43,0,0
2026-05-30,42,0,0
2026-05-31,42,0,0
2026-06-01,42,0,0
2026-06-02,42,0,0
2026-06-03,42,0,0
2026-06-04,42,0,0
2026-06-05,42,0,0
2026-06-06,42,0,0
2026-06-07,42,0,0
2026-06-08,42,0,0
2026-06-09,42,0,0
2026-06-10,42,0,0
2026-06-11,42,0,0
2026-06-12,42,0,0
2026-06-13,147,8,0
2026-06-14,147,8,0
2026-06-15,147,8,0
2026-06-16,147,8,0
2026-06-17,147,8,0
2026-06-18,147,8,0
2026-06-19,147,8,0
2026-06-20,147,8,0
2026-06-21,147,8,0
2026-06-22,147,8,1
2026-06-23,147,8,0
2026-06-24,147,8,1
2026-06-25,147,8,0
2026-06-26,147,8,1
2026-06-27,147,8,0
2026-06-28,147,8,17
2026-06-29,147,8,8
2026-06-30,147,8,5
2026-07-01,144,12,10
2026-07-02,144,12,2
2026-07-03,144,12,0
2026-07-04,144,12,0
2026-07-05,144,12,0
2026-07-06,144,12,0
2026-07-07,144,12,0
2026-07-08,144,12,0
2026-07-09,144,12,1
2026-07-10,144,12,6
2026-07-11,143,10,3
2026-07-12,143,10,0
2026-07-13,143,10,0
2026-07-14,143,10,0
2026-07-15,143,10,0
2026-07-16,143,10,0
2026-07-17,143,10,0
2026-07-18,143,10,0
2026-07-19,143,10,0
2026-07-20,143,10,0
2026-07-21,143,10,1
2026-07-22,143,10,0
2026-07-23,143,10,1
2026-07-24,143,10,0
2026-07-25,133,10,0
2026-07-26,133,10,0
2026-07-27,133,10,0
2026-07-28,133,10,2
2026-07-29,133,10,0
2026-07-30,133,10,0
2026-07-31,133,10,1
2026-08-01,133,10,1
2026-08-02,133,10,0
2026-08-03,133,10,0
2026-08-04,133,10,0
2026-08-05,133,10,0
2026-08-06,125,10,1
2026-08-07,125,10,0
2026-08-08,124,10,0
2026-08-09,124,10,0
2026-08-10,124,10,0
2026-08-11,123,10,0
2026-08-12,123,10,0
2026-08-13,123,10,0
2026-08-14,123,10,0
2026-08-15,122,10,0
2026-08-16,122,10,0
2026-08-17,122,10,0
2026-08-18,198,17,2
2026-08-19,198,17,2
2026-08-20,198,17,3
2026-08-21,198,17,3
